Date,Player,Projection,Sportsbook Line,Difference,Recommendation,Actual_PTS,Difference_Actual_vs_Line,Over_Under_Result,Projection_Correct
2026-03-10,quentin grimes,14.08,18.5,-4.42,0,,,,
2026-03-10,vj edgecombe,17.47,18.5,-1.0300000000000011,0,,,,
2026-03-10,jaylen wells,14.25,13.5,0.75,1,,,,
2026-03-10,olivier-maxence prosper,11.54,10.5,1.0399999999999991,1,,,,
2026-03-10,dominick barlow,7.1,9.5,-2.4000000000000004,0,,,,
2026-03-10,adem bona,7.33,8.5,-1.17,0,,,,
2026-03-10,jalen johnson,20.95,23.5,-2.5500000000000007,0,,,,
2026-03-10,cooper flagg,24.39,20.5,3.890000000000001,1,,,,
2026-03-10,nickeil alexander-walker,16.74,18.5,-1.7600000000000016,0,,,,
2026-03-10,onyeka okongwu,14.78,15.5,-0.7200000000000006,0,,,,
2026-03-10,max christie,11.57,11.5,0.0700000000000002,1,,,,
2026-03-10,khris middleton,11.24,10.5,0.7400000000000002,1,,,,
2026-03-10,jock landale,8.53,8.5,0.0299999999999993,1,,,,
2026-03-10,daniel gafford,10.47,8.5,1.9700000000000009,1,,,,
2026-03-10,cade cunningham,24.42,26.5,-2.0799999999999983,0,,,,
2026-03-10,tobias harris,12.84,12.5,0.3399999999999998,1,,,,
2026-03-10,duncan robinson,9.36,10.5,-1.1400000000000006,0,,,,
2026-03-10,drake powell,6.87,7.5,-0.6299999999999999,0,,,,
2026-03-10,giannis antetokounmpo,21.76,25.5,-3.7399999999999984,0,,,,
2026-03-10,devin booker,22.93,25.5,-2.5700000000000003,0,,,,
2026-03-10,jalen green,19.04,19.5,-0.4600000000000008,0,,,,
2026-03-10,grayson allen,20.87,16.5,4.370000000000001,1,,,,
2026-03-10,ryan rollins,14.65,15.5,-0.8499999999999996,0,,,,
2026-03-10,collin gillespie,15.1,13.5,1.5999999999999996,1,,,,
2026-03-10,bobby portis,13.16,11.5,1.66,1,,,,
2026-03-10,ousmane dieng,10.2,9.5,0.6999999999999993,1,,,,
2026-03-10,royce o'neale,8.85,9.5,-0.6500000000000004,0,,,,
2026-03-10,oso ighodaro,8.73,6.5,2.2300000000000004,1,,,,
2026-03-10,brandon miller,20.89,21.5,-0.6099999999999994,0,,,,
2026-03-10,kon knueppel,18.82,19.5,-0.6799999999999997,0,,,,
2026-03-10,lamelo ball,21.47,19.5,1.9699999999999989,1,,,,
2026-03-10,grant williams,7.78,6.5,1.2800000000000002,1,,,,
2026-03-10,ryan kalkbrenner,5.65,5.5,0.1500000000000003,1,,,,
2026-03-10,brandin podziemski,18.22,17.5,0.7199999999999989,1,,,,
2026-03-10,collin sexton,16.08,16.5,-0.4200000000000017,0,,,,
2026-03-10,gui santos,15.37,15.5,-0.1300000000000007,0,,,,
2026-03-10,isaac okoro,9.21,9.5,-0.2899999999999991,0,,,,
2026-03-10,guerschon yabusele,11.38,8.5,2.880000000000001,1,,,,
2026-03-10,jarace walker,14.91,17.5,-2.59,0,,,,
2026-03-10,russell westbrook,19.48,16.5,2.9800000000000004,1,,,,
2026-03-10,demar derozan,13.21,15.5,-2.289999999999999,0,,,,
2026-03-10,malik monk,15.52,15.5,0.0199999999999995,1,,,,
2026-03-10,maxime raynaud,15.49,15.5,-0.0099999999999997,0,,,,
2026-03-10,precious achiuwa,16.94,14.5,2.4400000000000013,1,,,,
2026-03-10,jay huff,13.21,13.5,-0.2899999999999991,0,,,,
2026-03-10,nique clifford,13.24,11.5,1.7400000000000002,1,,,,
